Release,Supplier, Review,Tag Number,QTY Released,Unit,Size,Description,Material,Lining,Coating,Release Date,Due Date,Area,System,Contract Dwg,System2,Shop Dwg,Delivered QTY,Need QTY,Received On,Received By,Storage Location,Notes,Estimate Cost,Contract Unit Price,Contract Extended Price,Above/Below,Invoice No.,Invoice Unit Price,Invoice Extended Price,Delta (Invoice-Contract),QTY Invoiced to Date,,
1,KAT,ok,104Uc-30-01,2,EA,"30"" x 14'-06""","CL53 FLGxPE WALL PIPE - FLG TFS NPT WC 16"" FROM FLG",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 5 and 6,"30"" ML BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",ML,,2, ,5/7/2026,David Nigro,Pipe Laydown,,," $15,448.17 "," $30,896.34 ",Below,3885," $15,448.17 "," $30,896.34 ", $-   ,,6/2/2026 (2) BNR 2 Southside (Staley),
1,KAT,ok,104Uc-30-02,40,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 5 and 6,"30"" ML BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",ML,,38,2,7/2/2026,Pablo Chapellin,Pipe Laydown,,, $405.62 ," $16,224.80 ",Below,3885(37);4194(3), $405.62 ," $15,413.56 ", $(811.24),40,6/2/2026 (1) (Gauged) BNR 2 Southside (Staley),
1,KAT,ok,104Uc-30-03,1,EA,"30""","30"" MJ 90 BEND",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 5 and 6,"30"" ML BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",ML,,1, ,5/4/2026,David Nigro,Pipe Laydown,,," $6,730.00 "," $6,730.00 ",Below,3858(1)," $6,730.00 "," $6,730.00 ", $-   ,1,6/2/2026 (1) BNR 2 Southside (Staley),
1,KAT,ok ,104Uc-30-04,2,EA,"30""","30"" Megalug w/ Accessory Kit",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 5 and 6,"30"" ML BNR Underslab","60% QAQC - M20-303,M20-101,M20-401",ML,,2, ,6/1/2026,David Nigro,Pipe Laydown,,," $1,061.00 "," $2,122.00 ",Below,4028," $1,061.00 "," $2,122.00 ", $-   ,,6/2/2026 (2) BNR 2 Southside (Staley),
,,,,,,,,,,,,,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
1,KAT,,104.1-30-01,260,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 and 2 to Clarifier 1,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,178,82,7/2/2026,Pablo Chapellin ,Pipe Laydown,"119.6 LF delivered 4/20/26
58.2 LF del 7/2/26",, $405.62 ," $105,461.20 ",Below,3810(140);4132(58);4194(62), $405.62 ," $72,119.24 "," $(33,341.96)",260,6/22/2026 139.6 LF BNR 1&2 and Clarifier 1 & 3 (Staley),
1,KAT,,104.1-30-02,1,EA,"30""","30"" MJ 90 BEND",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 and 2 to Clarifier 1,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,1, ,5/22/2026,David Nigro,Pipe Laydown,,," $6,730.00 "," $6,730.00 ",Below,,, $-   , $-   ,,6/2/2026 (1) BNR 2 Southside (Staley),
1,KAT,,104.1-30-03,2,EA,"30""","30"" MJ 45 BEND",DI,P401,Asphaltic,2/19/2026,5/4/2026,BNR 1 and 2 to Clarifier 1,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,3,-1,5/4/2026,David Nigro,Pipe Laydown,1 del 5/1/26,," $5,836.00 "," $11,672.00 ",Below,3858(3)," $5,836.00 "," $17,508.00 "," $5,836.00 ",3,"6/9/2026 (1) BRN 2 Southside (Staley), 7/29/2026 (1) BNR Trains 1 and 2 to Clarifiers 1 and 2 (Staley/Roman)",
1,KAT,,104.1-30-04,6,EA,"30""","30"" Megalug w/ Accessory Kit",,,,2/19/2026,5/4/2026,BNR 1 and 2 to Clarifier 1,"30"" Mixed Liquor","60% QAQC - M20-303,M20-101,M20-401",ML,,6, ,6/1/2026,David Nigro,Pipe Laydown,,," $1,061.00 "," $6,366.00 ",Below,4028," $1,061.00 "," $6,366.00 ", $-   ,,"6/2/2026 (1) BNR 2 Southside (Staley), 7/15/2026 (2) Traqins 3 & 4 Mixed Liquor (Gore), 7/15/2026 (2) BNR 1&2 (Staley), (1) 7/29/2026  BNR Trains 1 and 2 to Clarifiers 1 and 2 (Staley/Roman)",
,,,,,,,,,,,,,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
